Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,XL,,,16512482-blue-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,XXL,,,16512482-blue-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Blue,,XXXL,,,16512482-blue-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,S,,,16512482-red-s,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,M,,,16512482-red-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,L,,,16512482-red-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,XL,,,16512482-red-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,XXL,,,16512482-red-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Red,,XXXL,,,16512482-red-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,S,,,16512482-black-with-grey-s,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,M,,,16512482-black-with-grey-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,L,,,16512482-black-with-grey-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,XL,,,16512482-black-with-grey-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,XXL,,,16512482-black-with-grey-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black with Grey,,XXXL,,,16512482-black-with-grey-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476648.jpg?v=1584384486,kg,,,,,
trendyol-pattern-gauze-knitted-blouse-twoss20bz0448,Trendyol Pattern Gauze Knitted Blouse TWOSS20BZ0448,<p><span><strong>Brand Name:</strong> Trendyol</span></p>,yellowsweets,,,"",true,Color,Çok Renkli,Size,L,,,34119654-cok-renkli-l,0.0,shopify,deny,oberlo,50.24,50.24,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476,kg,,,,,active
trendyol-pattern-gauze-knitted-blouse-twoss20bz0448,,,,,,,,,Çok Renkli,,S,,,34119654-cok-renkli-s,0.0,shopify,deny,oberlo,50.24,50.24,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476,kg,,,,,
trendyol-pattern-gauze-knitted-blouse-twoss20bz0448,,,,,,,,,Çok Renkli,,XS,,,34119654-cok-renkli-xs,0.0,shopify,deny,oberlo,50.24,50.24,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476,kg,,,,,
trendyol-pattern-gauze-knitted-blouse-twoss20bz0448,,,,,,,,,Çok Renkli,,M,,,34119654-cok-renkli-m,0.0,shopify,deny,oberlo,50.24,50.24,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1278761877.jpg?v=1584384476,kg,,,,,
deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080,DEAT 2020 new spring and summer fashion women clothes cashmere sqaure collar full sleeves elasitc high waist sexy pullover WK080,<p><span><strong>Brand Name:</strong> DEAT</span><br><span><strong>Pattern Type:</strong> Solid</span><br><span><strong>Clothing Length:</strong> REGULAR</span><br><span><strong>Material:</strong> Viscose</span><br><span><strong>Collar:</strong> V-Neck</span><br><span><strong>Decoration:</strong> NONE</span><br><span><strong>Sleeve Length(cm):</strong> Full</span><br><span><strong>Sleeve Style:</strong> REGULAR</span><br><span><strong>Thickness:</strong> Thin (Summer)</span><br><span><strong>Closure Type:</strong> Other</span><br><span><strong>Style:</strong> Streetwear</span><br><span><strong>Age:</strong> Ages 18-35 Years Old</span><br><span><strong>Model Number:</strong> 137</span><br><span><strong>Material Composition:</strong> Acrylic</span><br><span><strong>Sweater craft:</strong> Knitting</span><br><span><strong>Type version:</strong> Slim Type</span></p>,yellowsweets,,,"",true,Size,S,Color,as picture,,,32217284-s-as-picture,0.0,shopify,deny,oberlo,55.96,55.96,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529733.jpg?v=1584384476,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476,kg,,,,,active
deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080,,,,,,,,,M,,black,,,32217284-m-black,0.0,shopify,deny,oberlo,55.96,55.96,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477,kg,,,,,
deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080,,,,,,,,,S,,black,,,32217284-s-black,0.0,shopify,deny,oberlo,55.96,55.96,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529739.jpg?v=1584384477,kg,,,,,
deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080,,,,,,,,,L,,as picture,,,32217284-l-as-picture,0.0,shopify,deny,oberlo,55.96,55.96,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476,kg,,,,,
deat-2020-new-spring-and-summer-fashion-women-clothes-cashmere-sqaure-collar-full-sleeves-elasitc-high-waist-sexy-pullover-wk080,,,,,,,,,M,,as picture,,,32217284-m-as-picture,0.0,shopify,deny,oberlo,55.96,55.96,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1306529734.jpg?v=1584384476,kg,,,,,
