('34119983-beyaz-36', 'trendyol-ruffle-detail-shirt-twoss20go0275', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1282179925.jpg?v=1584384476', 'Beyaz', '36', 6540),
('34119983-beyaz-40', 'trendyol-ruffle-detail-shirt-twoss20go0275', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1282179925.jpg?v=1584384476', 'Beyaz', '40', 6540),
('34119983-beyaz-38', 'trendyol-ruffle-detail-shirt-twoss20go0275', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1282179925.jpg?v=1584384476', 'Beyaz', '38', 6540),
('34119983-beyaz-34', 'trendyol-ruffle-detail-shirt-twoss20go0275', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1282179925.jpg?v=1584384476', 'Beyaz', '34', 6540),
('16673503-grinder-m-china', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068423.jpg?v=1584384484', 'Grinder', 'M', 2210),
('16673503-grinder-m-united-states', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068423.jpg?v=1584384484', 'Grinder', 'M', 2228),
('16673503-grinder-m-france', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068423.jpg?v=1584384484', 'Grinder', 'M', 2228),
('16673503-grinder-m-spain', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068423.jpg?v=1584384484', 'Grinder', 'M', 2228),
('16673503-1pc-head-m-china', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 638),
('16673503-1pc-head-m-united-states', 'rechargeable-nails-dog-cat-care-grooming-usb-electric-pet-dog-nail-grinder-trimmer-clipper-pets-paws-nail-cutter', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1301068424.jpg?v=1584384481', '1PC Head', 'M', 622),
